2016-02-29 17:53:30,257 [main] INFO  douban.DoubanCommentCrawlerRunner - runSubject:11625097
2016-02-29 17:53:34,864 [sparkDriver-akka.actor.default-dispatcher-2] INFO  slf4j.Slf4jLogger - Slf4jLogger started
2016-02-29 17:53:35,024 [sparkDriver-akka.actor.default-dispatcher-2] INFO  Remoting - Starting remoting
2016-02-29 17:53:35,704 [sparkDriver-akka.actor.default-dispatcher-2] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://sparkDriver@wenyuedeair.lan:51675]
2016-02-29 17:53:36,389 [main] INFO  server.Server - jetty-8.y.z-SNAPSHOT
2016-02-29 17:53:36,437 [main] INFO  server.AbstractConnector - Started SocketConnector@0.0.0.0:51676
2016-02-29 17:53:36,990 [main] INFO  server.Server - jetty-8.y.z-SNAPSHOT
2016-02-29 17:53:37,029 [main] INFO  server.AbstractConnector - Started SelectChannelConnector@0.0.0.0:4040
2016-02-29 17:53:43,891 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/metrics/json,null}
2016-02-29 17:53:43,894 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/stages/stage/kill,null}
2016-02-29 17:53:43,895 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/,null}
2016-02-29 17:53:43,895 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/static,null}
2016-02-29 17:53:43,895 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/executors/threadDump/json,null}
2016-02-29 17:53:43,895 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/executors/threadDump,null}
2016-02-29 17:53:43,895 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/executors/json,null}
2016-02-29 17:53:43,896 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/executors,null}
2016-02-29 17:53:43,896 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/environment/json,null}
2016-02-29 17:53:43,896 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/environment,null}
2016-02-29 17:53:43,896 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/storage/rdd/json,null}
2016-02-29 17:53:43,896 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/storage/rdd,null}
2016-02-29 17:53:43,896 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/storage/json,null}
2016-02-29 17:53:43,897 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/storage,null}
2016-02-29 17:53:43,897 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/stages/pool/json,null}
2016-02-29 17:53:43,897 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/stages/pool,null}
2016-02-29 17:53:43,897 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/stages/stage/json,null}
2016-02-29 17:53:43,897 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/stages/stage,null}
2016-02-29 17:53:43,897 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/stages/json,null}
2016-02-29 17:53:43,898 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/stages,null}
2016-02-29 17:53:43,898 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/jobs/job/json,null}
2016-02-29 17:53:43,898 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/jobs/job,null}
2016-02-29 17:53:43,898 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/jobs/json,null}
2016-02-29 17:53:43,898 [main] INFO  handler.ContextHandler - stopped o.s.j.s.ServletContextHandler{/jobs,null}
